Company Name,Symbol,Industry,PE Ratio,EPS,ROE (%),Debt/Equity,Market Cap (Cr),Dividend Yield (%)
JM Financial Ltd.,JMFINANCIL,Financial Services,10.54,59.27,12.72,6.68,354668.61,0.71
JSW Energy Ltd.,JSWENERGY,Power,10.67,13.98,14.67,2.45,403093.28,2.84
JSW Infrastructure Ltd.,JSWINFRA,Services,10.65,35.33,19.42,1.7,409684.84,4.44
JSW Steel Ltd.,JSWSTEEL,Metals & Mining,8.74,11.36,11.11,2.03,420010.72,4.52
Jaiprakash Power Ventures Ltd.,JPPOWER,Power,8.53,13.29,13.02,1.82,411395.85,2.23
Jammu & Kashmir Bank Ltd.,J&KBANK,Financial Services,17.35,21.21,19.36,6.16,293510.93,1.01
Jindal Saw Ltd.,JINDALSAW,Capital Goods,21.05,44.51,10.17,0.69,12307.47,3.28
Jindal Stainless Ltd.,JSL,Metals & Mining,13.29,21.4,7.32,1.98,297440.93,2.58
Jindal Steel & Power Ltd.,JINDALSTEL,Metals & Mining,17.85,9.09,11.95,2.01,214385.71,3.64
Jio Financial Services Ltd.,JIOFIN,Financial Services,17.69,79.43,11.93,3.73,362307.24,2.98
Jubilant Foodworks Ltd.,JUBLFOOD,Consumer Services,15.48,13.97,9.2,2.29,96337.73,1.75
Jubilant Ingrevia Ltd.,JUBLINGREA,Chemicals,15.63,24.2,10.83,0.87,34272.48,4.04
Jubilant Pharmova Ltd.,JUBLPHARMA,Healthcare,16.21,31.6,16.8,1.48,266712.41,1.76
Jupiter Wagons Ltd.,JWL,Capital Goods,15.0,36.78,17.94,1.82,279112.82,3.71
Justdial Ltd.,JUSTDIAL,Consumer Services,19.3,13.01,15.87,2.42,88063.82,3.51
Jyothy Labs Ltd.,JYOTHYLAB,Fast Moving Consumer Goods,30.02,28.4,21.93,0.79,378203.58,1.87
Jyoti CNC Automation Ltd.,JYOTICNC,Capital Goods,19.97,41.82,17.27,0.97,199958.3,0.93
K.P.R. Mill Ltd.,KPRMILL,Textiles,19.91,32.81,10.4,2.61,260718.51,3.19
KEI Industries Ltd.,KEI,Capital Goods,11.34,40.21,9.28,2.15,391123.03,3.6
KNR Constructions Ltd.,KNRCON,Construction,8.43,15.61,10.63,2.08,44277.55,4.7
KPIT Technologies Ltd.,KPITTECH,Information Technology,26.08,45.28,17.16,0.28,300496.87,2.68
KSB Ltd.,KSB,Capital Goods,23.79,29.88,17.92,2.2,104651.0,4.67
Kajaria Ceramics Ltd.,KAJARIACER,Consumer Durables,12.33,42.7,14.57,1.82,434094.32,4.07
Kalpataru Projects International Ltd.,KPIL,Construction,17.48,15.66,8.81,2.21,87175.5,3.54
Kalyan Jewellers India Ltd.,KALYANKJIL,Consumer Durables,16.92,49.02,17.69,1.73,66696.07,4.34
Kansai Nerolac Paints Ltd.,KANSAINER,Consumer Durables,28.46,29.48,17.28,1.65,87831.89,2.61
Karur Vysya Bank Ltd.,KARURVYSYA,Financial Services,13.58,24.51,15.51,3.48,13393.05,0.85
Kaynes Technology India Ltd.,KAYNES,Capital Goods,24.45,31.98,17.66,1.36,156252.16,2.63
Kec International Ltd.,KEC,Construction,13.27,8.7,14.41,1.65,309984.18,3.32
Kfin Technologies Ltd.,KFINTECH,Financial Services,10.13,18.99,21.71,6.22,29552.82,4.98
Kirloskar Brothers Ltd.,KIRLOSBROS,Capital Goods,10.87,37.8,17.84,0.98,71553.56,0.78
Kirloskar Oil Eng Ltd.,KIRLOSENG,Capital Goods,14.55,14.04,14.92,0.62,254956.35,4.98
Kotak Mahindra Bank Ltd.,KOTAKBANK,Financial Services,19.4,54.99,14.59,7.37,263757.21,2.25
Krishna Institute of Medical Sciences Ltd.,KIMS,Healthcare,14.35,45.46,12.5,0.79,184195.8,2.19
L&T Finance Ltd.,LTF,Financial Services,19.59,62.68,21.54,3.08,208368.92,2.51
L&T Technology Services Ltd.,LTTS,Information Technology,15.38,42.99,21.88,0.15,267887.41,1.23
LIC Housing Finance Ltd.,LICHSGFIN,Financial Services,8.17,30.68,24.64,8.61,479808.53,2.54
LTIMindtree Ltd.,LTIM,Information Technology,17.19,57.4,17.91,0.44,49492.25,2.54
Larsen & Toubro Ltd.,LT,Construction,9.8,16.36,15.37,2.43,188256.2,2.09
Latent View Analytics Ltd.,LATENTVIEW,Information Technology,24.19,69.25,23.6,0.48,393558.24,1.71
Laurus Labs Ltd.,LAURUSLABS,Healthcare,24.39,27.5,10.55,1.76,19693.96,4.53
Lemon Tree Hotels Ltd.,LEMONTREE,Consumer Services,19.23,41.86,17.23,2.29,318516.51,3.15
Life Insurance Corporation of India,LICI,Financial Services,8.93,48.7,12.25,8.16,256354.85,3.47
Linde India Ltd.,LINDEINDIA,Chemicals,12.67,13.39,18.6,0.29,36092.74,0.26
Lloyds Metals And Energy Ltd.,LLOYDSME,Metals & Mining,17.48,27.13,8.53,1.74,175176.76,3.92
Lupin Ltd.,LUPIN,Healthcare,23.9,17.41,9.74,0.65,330321.21,3.87
MMTC Ltd.,MMTC,Services,13.98,10.84,8.99,2.44,148074.67,3.89
MRF Ltd.,MRF,Automobile and Auto Components,15.5,25.28,13.09,0.74,307698.98,3.92
Macrotech Developers Ltd.,LODHA,Realty,15.73,18.26,5.29,4.91,399457.74,1.61
Mahanagar Gas Ltd.,MGL,Oil Gas & Consumable Fuels,14.82,34.08,13.82,2.87,405979.01,3.35
Maharashtra Seamless Ltd.,MAHSEAMLES,Capital Goods,11.92,23.53,17.28,0.95,186397.43,2.27
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,Financial Services,14.15,54.84,24.15,4.68,61189.94,1.15
Mahindra & Mahindra Ltd.,M&M,Automobile and Auto Components,18.64,35.83,14.29,2.13,430754.31,4.26
Mahindra Lifespace Developers Ltd.,MAHLIFE,Realty,19.03,11.31,10.29,3.38,421078.28,3.7
Manappuram Finance Ltd.,MANAPPURAM,Financial Services,18.87,57.65,12.66,6.82,492342.53,4.7
Mangalore Refinery & Petrochemicals Ltd.,MRPL,Oil Gas & Consumable Fuels,6.39,16.59,9.32,2.81,408983.77,1.22
Mankind Pharma Ltd.,MANKIND,Healthcare,21.11,43.63,15.33,1.31,295378.67,2.64
Marico Ltd.,MARICO,Fast Moving Consumer Goods,32.44,29.13,33.78,1.34,318327.53,3.85
Maruti Suzuki India Ltd.,MARUTI,Automobile and Auto Components,9.92,28.46,10.14,0.99,363367.63,4.96
Mastek Ltd.,MASTEK,Information Technology,16.98,50.07,22.4,0.18,277764.93,3.72
Max Financial Services Ltd.,MFSL,Financial Services,16.62,27.22,15.33,8.49,277336.14,0.23
Max Healthcare Institute Ltd.,MAXHEALTH,Healthcare,25.7,11.41,15.46,0.8,479057.7,1.97
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK,Capital Goods,14.9,15.96,11.06,2.25,498169.0,1.97
Metro Brands Ltd.,METROBRAND,Consumer Durables,18.97,38.88,20.63,1.39,196067.09,2.18
Metropolis Healthcare Ltd.,METROPOLIS,Healthcare,24.52,10.13,14.2,1.03,397201.57,0.65
Minda Corporation Ltd.,MINDACORP,Automobile and Auto Components,15.06,29.24,19.63,0.63,290201.9,2.9
Motherson Sumi Wiring India Ltd.,MSUMI,Automobile and Auto Components,14.73,34.14,20.15,2.11,135275.45,4.16
Motilal Oswal Financial Services Ltd.,MOTILALOFS,Financial Services,14.98,20.01,10.88,5.34,392556.04,3.6
MphasiS Ltd.,MPHASIS,Information Technology,30.77,55.86,17.72,0.16,164432.28,2.28
Multi Commodity Exchange of India Ltd.,MCX,Financial Services,9.24,29.34,18.97,8.15,499174.58,4.68
Muthoot Finance Ltd.,MUTHOOTFIN,Financial Services,17.0,42.38,19.54,8.5,59608.93,2.17
NATCO Pharma Ltd.,NATCOPHARM,Healthcare,27.12,25.35,13.72,1.38,92645.89,1.94
NBCC (India) Ltd.,NBCC,Construction,12.01,5.92,8.24,3.5,136898.87,2.69
NCC Ltd.,NCC,Construction,11.58,37.92,10.59,2.29,436428.76,4.24
NHPC Ltd.,NHPC,Power,6.86,33.09,10.12,2.45,67173.25,0.59
NLC India Ltd.,NLCINDIA,Power,12.28,22.38,9.93,3.19,382873.69,0.96
NMDC Ltd.,NMDC,Metals & Mining,13.32,9.06,12.51,2.64,478329.0,0.53
NMDC Steel Ltd.,NSLNISP,Metals & Mining,6.68,13.47,7.62,1.62,453174.16,1.4
NTPC Ltd.,NTPC,Power,7.72,31.58,10.05,3.33,33150.4,2.54
Narayana Hrudayalaya Ltd.,NH,Healthcare,12.61,12.51,17.06,0.71,266444.13,2.17
National Aluminium Co. Ltd.,NATIONALUM,Metals & Mining,10.17,32.0,5.22,2.66,481715.52,2.89
Navin Fluorine International Ltd.,NAVINFLUOR,Chemicals,26.99,12.09,15.03,0.54,365545.07,4.91
Nestle India Ltd.,NESTLEIND,Fast Moving Consumer Goods,31.41,31.35,23.96,0.93,232234.28,4.87
Netweb Technologies India Ltd.,NETWEB,Information Technology,27.17,47.48,13.48,0.16,113045.81,1.4
Network18 Media & Investments Ltd.,NETWORK18,Media Entertainment & Publication,22.46,24.64,10.23,0.73,430139.78,3.67
Newgen Software Technologies Ltd.,NEWGEN,Information Technology,16.35,65.39,19.07,0.13,229421.17,2.53
Nippon Life India Asset Management Ltd.,NAM-INDIA,Financial Services,10.32,76.47,22.75,7.68,231416.63,2.18
Nuvama Wealth Management Ltd.,NUVAMA,Financial Services,17.11,50.45,10.93,6.59,403298.61,2.4
Nuvoco Vistas Corporation Ltd.,NUVOCO,Construction Materials,8.62,33.59,10.01,0.89,82770.82,1.79
Oberoi Realty Ltd.,OBEROIRLTY,Realty,17.08,17.98,6.43,4.63,439851.14,4.38
Oil & Natural Gas Corporation Ltd.,ONGC,Oil Gas & Consumable Fuels,8.15,28.05,17.85,2.93,14070.13,0.51
Oil India Ltd.,OIL,Oil Gas & Consumable Fuels,10.18,46.37,13.39,2.24,53184.11,3.35
Olectra Greentech Ltd.,OLECTRA,Automobile and Auto Components,17.87,25.22,21.63,2.43,102281.35,2.71
One 97 Communications Ltd.,PAYTM,Financial Services,12.02,66.54,18.66,7.44,399058.12,2.1
Oracle Financial Services Software Ltd.,OFSS,Information Technology,33.3,56.65,14.05,0.38,396734.04,1.72
PB Fintech Ltd.,POLICYBZR,Financial Services,20.0,73.9,14.15,9.88,70785.41,1.17
PCBL Chemical Ltd.,PCBL,Chemicals,14.95,45.76,17.85,0.4,220441.55,3.15
PI Industries Ltd.,PIIND,Chemicals,13.34,45.3,19.64,0.86,483579.74,2.21
PNB Housing Finance Ltd.,PNBHOUSING,Financial Services,21.78,58.41,19.52,4.16,441022.92,2.25
PNC Infratech Ltd.,PNCINFRA,Construction,9.95,5.44,13.6,2.58,359817.13,4.47
PTC Industries Ltd.,PTCIL,Capital Goods,11.19,39.26,9.87,2.22,409622.23,2.8
PVR INOX Ltd.,PVRINOX,Media Entertainment & Publication,20.07,16.0,9.71,2.14,229902.97,1.92
Page Industries Ltd.,PAGEIND,Textiles,13.93,29.85,8.35,0.93,356151.0,4.16
Patanjali Foods Ltd.,PATANJALI,Fast Moving Consumer Goods,27.52,21.0,22.84,0.65,225450.31,3.79
Persistent Systems Ltd.,PERSISTENT,Information Technology,28.02,61.05,16.58,0.44,235907.94,4.9
Petronet LNG Ltd.,PETRONET,Oil Gas & Consumable Fuels,11.71,15.05,14.76,1.81,343320.43,0.53
Pfizer Ltd.,PFIZER,Healthcare,15.15,44.23,10.27,1.76,139998.41,3.29
Phoenix Mills Ltd.,PHOENIXLTD,Realty,16.33,17.82,7.14,2.64,17078.08,1.66
Pidilite Industries Ltd.,PIDILITIND,Chemicals,22.45,47.53,20.45,1.2,394329.45,3.39
Piramal Enterprises Ltd.,PEL,Financial Services,11.64,73.97,20.06,6.92,55939.24,2.35
Piramal Pharma Ltd.,PPLPHARMA,Healthcare,20.29,44.58,13.47,1.07,488411.76,0.73
Poly Medicure Ltd.,POLYMED,Healthcare,19.61,11.68,15.4,1.88,140378.65,4.32
Polycab India Ltd.,POLYCAB,Capital Goods,14.38,46.43,15.54,2.11,9494.27,4.82
Poonawalla Fincorp Ltd.,POONAWALLA,Financial Services,18.17,34.81,22.44,4.97,436440.54,0.74
Power Finance Corporation Ltd.,PFC,Financial Services,17.85,50.15,11.45,4.69,6695.82,2.45
Power Grid Corporation of India Ltd.,POWERGRID,Power,8.01,25.94,8.68,1.9,371725.0,0.43
Praj Industries Ltd.,PRAJIND,Capital Goods,23.54,44.09,14.68,1.69,446205.1,1.09
Prestige Estates Projects Ltd.,PRESTIGE,Realty,8.95,10.99,10.56,2.1,291612.01,4.98
Procter & Gamble Hygiene & Health Care Ltd.,PGHH,Fast Moving Consumer Goods,46.39,28.04,21.27,1.28,299689.76,0.75
Punjab National Bank,PNB,Financial Services,9.31,74.13,20.04,8.81,439549.96,2.94
Quess Corp Ltd.,QUESS,Services,17.76,27.22,11.8,1.37,387052.89,3.09
R R Kabel Ltd.,RRKABEL,Capital Goods,23.39,27.74,14.07,1.76,296052.73,3.57
RBL Bank Ltd.,RBLBANK,Financial Services,11.32,48.3,11.56,5.69,244089.7,3.33
REC Ltd.,RECLTD,Financial Services,21.31,54.04,21.15,6.54,317234.96,0.54
RHI MAGNESITA INDIA LTD.,RHIM,Capital Goods,13.82,24.47,12.72,0.59,70442.04,1.53
RITES Ltd.,RITES,Construction,19.66,16.6,12.82,1.59,305584.65,1.55
Radico Khaitan Ltd,RADICO,Fast Moving Consumer Goods,30.17,27.91,20.11,0.21,109924.87,0.38
Rail Vikas Nigam Ltd.,RVNL,Construction,9.3,16.86,16.03,2.72,256577.53,1.61
Railtel Corporation Of India Ltd.,RAILTEL,Telecommunication,23.98,12.94,5.87,4.47,57362.28,1.86
Rainbow Childrens Medicare Ltd.,RAINBOW,Healthcare,21.13,44.97,12.94,1.55,496412.01,0.83
Rajesh Exports Ltd.,RAJESHEXPO,Consumer Durables,15.49,25.78,15.06,1.12,453851.7,3.63
Ramkrishna Forgings Ltd.,RKFORGE,Automobile and Auto Components,15.29,22.37,22.36,2.41,410688.54,0.21
Rashtriya Chemicals & Fertilizers Ltd.,RCF,Chemicals,22.18,12.05,13.09,0.28,302095.83,3.5
Ratnamani Metals & Tubes Ltd.,RATNAMANI,Capital Goods,11.72,25.35,12.56,1.24,60951.99,2.21
RattanIndia Enterprises Ltd.,RTNINDIA,Consumer Services,25.02,13.55,9.12,1.21,470891.99,3.41
Raymond Ltd.,RAYMOND,Realty,16.14,14.05,9.16,2.03,318229.98,4.58
Redington Ltd.,REDINGTON,Services,19.19,44.95,16.69,0.74,451275.43,0.52
Reliance Industries Ltd.,RELIANCE,Oil Gas & Consumable Fuels,10.81,15.69,8.12,2.06,147872.83,2.53
Route Mobile Ltd.,ROUTE,Telecommunication,18.66,5.87,6.23,4.23,171912.09,3.7
SBFC Finance Ltd.,SBFC,Financial Services,17.13,69.96,20.39,6.01,336646.83,1.52
SBI Cards and Payment Services Ltd.,SBICARD,Financial Services,12.29,66.28,16.7,8.59,411299.98,4.32
SBI Life Insurance Company Ltd.,SBILIFE,Financial Services,20.83,43.01,14.78,7.08,185900.63,3.09
SJVN Ltd.,SJVN,Power,12.06,29.09,9.37,1.5,215549.4,0.88
SKF India Ltd.,SKFINDIA,Capital Goods,23.35,23.84,9.54,0.55,323088.28,3.26
SRF Ltd.,SRF,Chemicals,17.45,12.87,14.92,0.6,338721.76,3.11
Sammaan Capital Ltd.,SAMMAANCAP,Financial Services,13.1,29.16,24.82,6.18,344292.98,0.87
Samvardhana Motherson International Ltd.,MOTHERSON,Automobile and Auto Components,13.83,11.1,17.58,2.43,192411.25,0.39
Sanofi India Ltd.,SANOFI,Healthcare,12.56,25.52,9.6,0.54,378228.7,2.4
Sapphire Foods India Ltd.,SAPPHIRE,Consumer Services,15.78,55.0,9.63,2.41,157326.38,4.46
Saregama India Ltd,SAREGAMA,Media Entertainment & Publication,18.25,33.93,14.84,1.08,480587.17,2.07
Schaeffler India Ltd.,SCHAEFFLER,Automobile and Auto Components,12.63,23.62,18.12,0.81,277078.89,2.8
Schneider Electric Infrastructure Ltd.,SCHNEIDER,Capital Goods,21.43,43.35,12.4,1.1,130037.78,1.13
Shipping Corporation of India Ltd.,SCI,Services,10.86,23.7,11.24,2.43,279075.56,1.87
Shree Cement Ltd.,SHREECEM,Construction Materials,14.97,14.18,12.44,1.44,244704.47,2.13
Shree Renuka Sugars Ltd.,RENUKA,Fast Moving Consumer Goods,49.85,37.01,32.47,0.94,310519.91,1.17
Shriram Finance Ltd.,SHRIRAMFIN,Financial Services,13.53,17.56,17.13,6.8,114260.99,4.83
Shyam Metalics and Energy Ltd.,SHYAMMETL,Capital Goods,23.64,38.89,13.33,2.24,65760.85,3.99
Siemens Ltd.,SIEMENS,Capital Goods,11.87,41.77,10.76,2.25,472049.03,0.91
Signatureglobal (India) Ltd.,SIGNATURE,Realty,13.55,29.52,8.38,4.59,294571.4,2.0
Sobha Ltd.,SOBHA,Realty,11.43,10.08,10.33,3.16,255882.09,2.56
Solar Industries India Ltd.,SOLARINDS,Chemicals,21.24,44.62,21.77,0.73,413845.7,3.87
Sona BLW Precision Forgings Ltd.,SONACOMS,Automobile and Auto Components,14.88,48.24,13.01,0.72,427054.0,2.31
Sonata Software Ltd.,SONATSOFTW,Information Technology,31.94,74.65,12.81,0.45,224435.37,2.65
Star Health and Allied Insurance Company Ltd.,STARHEALTH,Financial Services,16.77,75.21,10.29,6.34,344017.16,3.67
State Bank of India,SBIN,Financial Services,17.7,23.74,14.49,5.51,402316.39,1.54
Steel Authority of India Ltd.,SAIL,Metals & Mining,8.53,33.72,5.09,3.49,338572.24,4.18
Sterling and Wilson Renewable Energy Ltd.,SWSOLAR,Construction,11.54,5.5,15.38,3.5,370367.83,0.89
Sumitomo Chemical India Ltd.,SUMICHEM,Chemicals,24.05,40.76,17.9,1.2,423037.76,3.15
Sun Pharma Advanced Research Company Ltd.,SPARC,Healthcare,13.59,29.51,8.78,1.11,203849.69,0.52
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,Healthcare,18.28,14.44,16.08,1.92,36622.08,4.78
Sun TV Network Ltd.,SUNTV,Media Entertainment & Publication,16.88,15.48,5.77,1.5,397360.51,3.59
Sundaram Finance Ltd.,SUNDARMFIN,Financial Services,8.7,19.74,16.04,5.07,116575.97,1.55
Sundram Fasteners Ltd.,SUNDRMFAST,Automobile and Auto Components,17.64,47.17,16.08,2.31,161087.1,2.49
Supreme Industries Ltd.,SUPREMEIND,Capital Goods,13.39,35.62,17.79,1.71,179228.14,3.31
Suven Pharmaceuticals Ltd.,SUVENPHAR,Healthcare,14.21,45.55,13.03,1.17,293139.46,3.2
Suzlon Energy Ltd.,SUZLON,Capital Goods,11.08,37.3,10.42,1.93,411356.13,4.06
Swan Energy Ltd.,SWANENERGY,Diversified,21.05,36.01,9.71,2.55,136068.99,2.58
Syngene International Ltd.,SYNGENE,Healthcare,17.12,15.35,14.3,0.58,374448.29,1.72
Syrma SGS Technology Ltd.,SYRMA,Capital Goods,10.0,30.45,8.47,1.05,353634.76,0.5
TBO Tek Ltd.,TBOTEK,Consumer Services,26.79,10.19,11.46,1.98,158476.94,0.69
TVS Motor Company Ltd.,TVSMOTOR,Automobile and Auto Components,12.32,20.82,22.64,1.13,394571.77,4.48
TVS Supply Chain Solutions Ltd.,TVSSCS,Services,16.51,46.4,12.53,2.43,45100.12,3.5
Tanla Platforms Ltd.,TANLA,Information Technology,24.88,49.38,20.23,0.38,2679.45,1.0
Tata Chemicals Ltd.,TATACHEM,Chemicals,23.41,36.66,21.59,1.19,475410.97,3.57
Tata Communications Ltd.,TATACOMM,Telecommunication,14.47,7.11,12.82,4.58,24568.91,1.93
Tata Consultancy Services Ltd.,TCS,Information Technology,34.14,55.02,17.63,0.28,104836.92,1.97
Tata Consumer Products Ltd.,TATACONSUM,Fast Moving Consumer Goods,34.25,16.31,35.35,0.74,411178.85,4.28
Tata Elxsi Ltd.,TATAELXSI,Information Technology,19.24,62.87,18.14,0.45,108262.47,3.45
Tata Investment Corporation Ltd.,TATAINVEST,Financial Services,16.51,34.19,12.05,7.56,369429.43,1.72
Tata Motors Ltd.,TATAMOTORS,Automobile and Auto Components,15.74,25.81,20.7,0.9,445162.39,1.58
Tata Power Co. Ltd.,TATAPOWER,Power,8.68,7.03,7.0,2.55,134162.54,4.21
Tata Steel Ltd.,TATASTEEL,Metals & Mining,6.18,16.37,8.37,1.05,62622.02,2.19
Tata Technologies Ltd.,TATATECH,Information Technology,24.86,50.21,18.9,0.34,5456.95,2.43
Tata Teleservices (Maharashtra) Ltd.,TTML,Telecommunication,24.45,15.38,11.78,3.25,387108.69,3.91
Tech Mahindra Ltd.,TECHM,Information Technology,25.43,78.8,13.63,0.11,385194.03,4.07
Techno Electric & Engineering Company Ltd.,TECHNOE,Construction,9.44,14.3,8.18,1.88,386684.37,2.69
Tejas Networks Ltd.,TEJASNET,Telecommunication,15.22,12.43,5.01,3.2,323406.14,4.88
The New India Assurance Company Ltd.,NIACL,Financial Services,19.86,16.53,23.48,8.48,390297.87,2.4
The Ramco Cements Ltd.,RAMCOCEM,Construction Materials,12.78,19.09,8.66,0.84,123678.52,2.52
Thermax Ltd.,THERMAX,Capital Goods,21.21,28.95,8.58,2.42,471390.8,3.97
Timken India Ltd.,TIMKEN,Capital Goods,24.87,31.78,17.63,0.65,183157.53,1.28
Titagarh Rail Systems Ltd.,TITAGARH,Capital Goods,12.94,15.63,14.22,2.06,289360.05,0.91
Titan Company Ltd.,TITAN,Consumer Durables,26.22,35.44,14.66,1.51,130322.54,1.86
Torrent Pharmaceuticals Ltd.,TORNTPHARM,Healthcare,28.51,21.62,12.7,1.84,354006.81,0.5
Torrent Power Ltd.,TORNTPOWER,Power,6.47,5.27,11.68,2.34,67570.29,4.8
Trent Ltd.,TRENT,Consumer Services,20.59,22.09,15.01,1.86,38581.49,1.52
Trident Ltd.,TRIDENT,Textiles,17.68,18.79,10.47,1.58,22428.02,1.0
Triveni Engineering & Industries Ltd.,TRIVENI,Fast Moving Consumer Goods,36.14,20.23,21.0,1.3,490605.67,4.01
Triveni Turbine Ltd.,TRITURBINE,Capital Goods,22.81,19.68,17.61,0.89,475739.19,4.98
Tube Investments of India Ltd.,TIINDIA,Automobile and Auto Components,16.54,49.25,18.54,1.02,218779.44,3.05
UCO Bank,UCOBANK,Financial Services,9.02,55.45,24.72,4.33,396401.26,4.56
UNO Minda Ltd.,UNOMINDA,Automobile and Auto Components,19.32,48.41,17.82,2.45,378776.45,0.98
UPL Ltd.,UPL,Chemicals,19.63,38.73,12.97,1.03,333466.94,0.98
UTI Asset Management Company Ltd.,UTIAMC,Financial Services,15.91,65.16,17.48,3.08,5014.72,1.91
Ujjivan Small Finance Bank Ltd.,UJJIVANSFB,Financial Services,20.97,29.86,19.52,4.55,161174.16,4.27
UltraTech Cement Ltd.,ULTRACEMCO,Construction Materials,16.75,12.86,12.29,0.54,240704.63,3.38
Union Bank of India,UNIONBANK,Financial Services,9.66,33.78,15.97,9.44,496630.88,0.42
United Breweries Ltd.,UBL,Fast Moving Consumer Goods,44.03,24.29,27.85,1.18,459254.0,4.76
United Spirits Ltd.,UNITDSPR,Fast Moving Consumer Goods,39.43,23.93,35.75,0.53,282254.98,1.92
Usha Martin Ltd.,USHAMART,Capital Goods,19.85,19.62,9.92,2.34,51350.94,2.63
V-Guard Industries Ltd.,VGUARD,Consumer Durables,14.42,11.56,10.43,0.76,433451.79,1.56
V.I.P. Industries Ltd.,VIPIND,Consumer Durables,29.01,33.26,15.24,1.37,258590.84,3.84
Valor Estate Ltd.,DBREALTY,Realty,11.39,13.83,11.26,4.84,446332.83,2.21
Vardhman Textiles Ltd.,VTL,Textiles,17.36,19.29,9.98,1.01,295769.59,1.09
Varroc Engineering Ltd.,VARROC,Automobile and Auto Components,11.98,44.2,13.11,0.64,34969.29,4.72
Varun Beverages Ltd.,VBL,Fast Moving Consumer Goods,37.67,25.24,36.22,1.29,166429.42,3.53
Vedant Fashions Ltd.,MANYAVAR,Consumer Services,25.42,42.73,10.12,2.25,269777.73,1.56
Vedanta Ltd.,VEDL,Metals & Mining,11.1,6.13,6.28,2.91,505.81,2.2
Vijaya Diagnostic Centre Ltd.,VIJAYA,Healthcare,21.41,12.19,17.73,0.84,152447.26,1.66
Vinati Organics Ltd.,VINATIORGA,Chemicals,15.69,10.06,18.75,1.46,112534.59,3.38
Vodafone Idea Ltd.,IDEA,Telecommunication,21.13,21.97,9.23,3.21,162984.92,3.62
Voltas Ltd.,VOLTAS,Consumer Durables,26.34,17.26,14.45,1.85,403443.41,4.93
Welspun Corp Ltd.,WELCORP,Capital Goods,21.31,25.73,13.91,1.82,39688.68,2.81
Welspun Living Ltd.,WELSPUNLIV,Textiles,16.51,10.02,12.81,1.96,476134.78,0.4
Westlife Foodworld Ltd.,WESTLIFE,Consumer Services,15.31,40.08,12.15,1.93,379623.14,0.69
Whirlpool of India Ltd.,WHIRLPOOL,Consumer Durables,20.28,30.36,14.43,1.9,413839.41,3.55
Wipro Ltd.,WIPRO,Information Technology,29.29,53.09,23.97,0.38,364626.04,4.34
Yes Bank Ltd.,YESBANK,Financial Services,11.84,67.46,12.93,5.42,168137.42,4.9
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,Automobile and Auto Components,18.28,38.05,20.91,1.62,473571.79,2.58
Zee Entertainment Enterprises Ltd.,ZEEL,Media Entertainment & Publication,14.47,10.71,12.86,1.97,192485.34,0.32
Zensar Technolgies Ltd.,ZENSARTECH,Information Technology,31.78,30.57,21.15,0.49,219111.83,1.33
Zomato Ltd.,ZOMATO,Consumer Services,24.1,50.86,15.65,2.43,26308.53,2.62
Zydus Lifesciences Ltd.,ZYDUSLIFE,Healthcare,24.93,44.51,9.79,1.7,276577.18,2.1
eClerx Services Ltd.,ECLERX,Services,11.98,44.61,9.89,1.12,145377.74,4.38
